Date,Searches,Cases
28/11/2015,56,0
05/12/2015,30,0
12/12/2015,24,0
19/12/2015,69,0
26/12/2015,0,0
02/01/2016,0,0
09/01/2016,20,0
16/01/2016,40,0
23/01/2016,78,0
30/01/2016,95,1
06/02/2016,44,0
13/02/2016,72,0
20/02/2016,100,0
27/02/2016,100,0
05/03/2016,56,0
12/03/2016,84,0
19/03/2016,21,0
26/03/2016,63,0
02/04/2016,72,0
09/04/2016,34,0
16/04/2016,39,0
23/04/2016,44,0
30/04/2016,24,0
07/05/2016,23,0
14/05/2016,11,0
21/05/2016,22,0
28/05/2016,32,1
04/06/2016,21,3
11/06/2016,18,0
18/06/2016,22,0
25/06/2016,23,1
02/07/2016,13,0
09/07/2016,8,2
16/07/2016,10,1
23/07/2016,8,5
30/07/2016,31,11
06/08/2016,14,7
13/08/2016,37,8
20/08/2016,51,8
27/08/2016,46,12
03/09/2016,36,19
10/09/2016,56,30
17/09/2016,83,1
24/09/2016,84,168
01/10/2016,68,101
08/10/2016,81,73
15/10/2016,67,0
22/10/2016,89,188
29/10/2016,75,8
05/11/2016,100,32
12/11/2016,91,75
19/11/2016,100,0
26/11/2016,88,2
03/12/2016,79,15
10/12/2016,57,26
17/12/2016,60,8
24/12/2016,60,16
31/12/2016,100,1
07/01/2017,28,0
14/01/2017,57,0
21/01/2017,54,2
28/01/2017,35,1
04/02/2017,100,1
11/02/2017,69,0
18/02/2017,23,2
25/02/2017,55,0
04/03/2017,12,1
11/03/2017,52,0
18/03/2017,57,2
25/03/2017,48,0
01/04/2017,13,2
08/04/2017,45,0
15/04/2017,37,0
22/04/2017,100,0
29/04/2017,0,0
06/05/2017,33,0
13/05/2017,47,0
20/05/2017,22,0
27/05/2017,15,0
03/06/2017,15,0
10/06/2017,9,0
17/06/2017,47,0
24/06/2017,0,0
01/07/2017,22,0
08/07/2017,20,1
15/07/2017,34,0
22/07/2017,7,0
29/07/2017,17,0
05/08/2017,13,3
12/08/2017,0,0
19/08/2017,0,0
26/08/2017,8,0
02/09/2017,16,0
09/09/2017,5,0
16/09/2017,8,0
23/09/2017,12,0
30/09/2017,0,0
07/10/2017,2,0
14/10/2017,8,0
21/10/2017,0,0
28/10/2017,3,0
04/11/2017,1,0
11/11/2017,9,0
18/11/2017,3,0
25/11/2017,0,0
02/12/2017,35,0
09/12/2017,0,0
16/12/2017,20,0
23/12/2017,0,0
30/12/2017,10,0
06/01/2018,13,0
13/01/2018,56,0
20/01/2018,0,0
27/01/2018,0,0
03/02/2018,13,0
10/02/2018,33,0
17/02/2018,45,0
24/02/2018,0,0
03/03/2018,0,0
10/03/2018,0,0
17/03/2018,19,0
24/03/2018,25,0
